en,zh-Hans,ja,it,es,de,fr,zh-Hant,ko,roomaji,ja-Hrkt
Jirachi,基拉祈,ジラーチ,Jirachi,Jirachi,Jirachi,Jirachi,基拉祈,지라치,Jirachi,ジラーチ
Wingull,长翅鸥,キャモメ,Wingull,Wingull,Wingull,Goélise,長翅鷗,갈모매,Camome,キャモメ
Gallade,艾路雷朵,エルレイド,Gallade,Gallade,Galagladi,Gallame,艾路雷朵,엘레이드,Erlade,エルレイド
Staryu,海星星,ヒトデマン,Staryu,Staryu,Sterndu,Stari,海星星,별가사리,Hitodeman,ヒトデマン
Weezing,双弹瓦斯,マタドガス,Weezing,Weezing,Smogmog,Smogogo,雙彈瓦斯,또도가스,Matadogas,マタドガス
Mareep,咩利羊,メリープ,Mareep,Mareep,Voltilamm,Wattouat,咩利羊,메리프,Merriep,メリープ
Spiritomb,花岩怪,ミカルゲ,Spiritomb,Spiritomb,Kryppuk,Spiritomb,花岩怪,화강돌,Mikaruge,ミカルゲ
Paras,派拉斯,パラス,Paras,Paras,Paras,Paras,派拉斯,파라스,Paras,パラス
Sandslash,穿山王,サンドパン,Sandslash,Sandslash,Sandamer,Sablaireau,穿山王,고지,Sandpan,サンドパン
Kangaskhan,袋兽,ガルーラ,Kangaskhan,Kangaskhan,Kangama,Kangourex,袋獸,캥카,Garura,ガルーラ
Magmortar,鸭嘴炎兽,ブーバーン,Magmortar,Magmortar,Magbrant,Maganon,鴨嘴炎獸,마그마번,Booburn,ブーバーン
Aron,可可多拉,ココドラ,Aron,Aron,Stollunior,Galekid,可可多拉,가보리,Cokodora,ココドラ
Machamp,怪力,カイリキー,Machamp,Machamp,Machomei,Mackogneur,怪力,괴력몬,Kairiky,カイリキー
Grotle,树林龟,ハヤシガメ,Grotle,Grotle,Chelcarain,Boskara,樹林龜,수풀부기,Hayashigame,ハヤシガメ
Omanyte,菊石兽,オムナイト,Omanyte,Omanyte,Amonitas,Amonita,菊石獸,암나이트,Omnite,オムナイト
Slowpoke,呆呆兽,ヤドン,Slowpoke,Slowpoke,Flegmon,Ramoloss,呆呆獸,야돈,Yadon,ヤドン
Abomasnow,暴雪王,ユキノオー,Abomasnow,Abomasnow,Rexblisar,Blizzaroi,暴雪王,눈설왕,Yukinooh,ユキノオー
Gligar,天蝎,グライガー,Gligar,Gligar,Skorgla,Scorplane,天蠍,글라이거,Gliger,グライガー
Exeggutor,椰蛋树,ナッシー,Exeggutor,Exeggutor,Kokowei,Noadkoko,椰蛋樹,나시,Nassy,ナッシー
Barboach,泥泥鰍,ドジョッチ,Barboach,Barboach,Schmerbe,Barloche,泥泥鰍,미꾸리,Dojoach,ドジョッチ
Parasect,派拉斯特,パラセクト,Parasect,Parasect,Parasek,Parasect,派拉斯特,파라섹트,Parasect,パラセクト
Grovyle,森林蜥蜴,ジュプトル,Grovyle,Grovyle,Reptain,Massko,森林蜥蜴,나무돌이,Juptile,ジュプトル
Minun,負电拍拍,マイナン,Minun,Minun,Minun,Négapi,負電拍拍,마이농,Minun,マイナン
Budew,含羞苞,スボミー,Budew,Budew,Knospi,Rozbouton,含羞苞,꼬몽울,Subomie,スボミー
Ditto,百变怪,メタモン,Ditto,Ditto,Ditto,Métamorph,百變怪,메타몽,Metamon,メタモン
Mudkip,水躍鱼,ミズゴロウ,Mudkip,Mudkip,Hydropi,Gobou,水躍魚,물짱이,Mizugorou,ミズゴロウ
Mantyke,小球飞鱼,タマンタ,Mantyke,Mantyke,Mantirps,Babimanta,小球飛魚,타만타,Tamanta,タマンタ
Mesprit,艾姆利多,エムリット,Mesprit,Mesprit,Vesprit,Créfollet,艾姆利多,엠라이트,Emrit,エムリット
Zangoose,猫鼬斩,ザングース,Zangoose,Zangoose,Sengo,Mangriff,貓鼬斬,쟝고,Zangoose,ザングース
Psyduck,可达鸭,コダック,Psyduck,Psyduck,Enton,Psykokwak,可達鴨,고라파덕,Koduck,コダック
Nidoqueen,尼多后,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,尼多后,니드퀸,Nidoqueen,ニドクイン
Altaria,七夕青鸟,チルタリス,Altaria,Altaria,Altaria,Altaria,七夕青鳥,파비코리,Tyltalis,チルタリス
Togekiss,波克基斯,トゲキッス,Togekiss,Togekiss,Togekiss,Togekiss,波克基斯,토게키스,Togekiss,トゲキッス
Luxio,勒克猫,ルクシオ,Luxio,Luxio,Luxio,Luxio,勒克貓,럭시오,Luxio,ルクシオ
Venusaur,妙蛙花,フシギバナ,Venusaur,Venusaur,Bisaflor,Florizarre,妙蛙花,이상해꽃,Fushigibana,フシギバナ
Blastoise,水箭龟,カメックス,Blastoise,Blastoise,Turtok,Tortank,水箭龜,거북왕,Kamex,カメックス
Latios,拉帝欧斯,ラティオス,Latios,Latios,Latios,Latios,拉帝歐斯,라티오스,Latios,ラティオス
Corphish,龙虾小兵,ヘイガニ,Corphish,Corphish,Krebscorps,Écrapince,龍蝦小兵,가재군,Heigani,ヘイガニ
Pachirisu,帕奇利兹,パチリス,Pachirisu,Pachirisu,Pachirisu,Pachirisu,帕奇利茲,파치리스,Pachirisu,パチリス
Fearow,大嘴雀,オニドリル,Fearow,Fearow,Ibitak,Rapasdepic,大嘴雀,깨비드릴조,Onidrill,オニドリル
Marill,玛力露,マリル,Marill,Marill,Marill,Marill,瑪力露,마릴,Maril,マリル
Piplup,波加曼,ポッチャマ,Piplup,Piplup,Plinfa,Tiplouf,波加曼,팽도리,Pochama,ポッチャマ
Bulbasaur,妙蛙种子,フシギダネ,Bulbasaur,Bulbasaur,Bisasam,Bulbizarre,妙蛙種子,이상해씨,Fushigidane,フシギダネ
Jigglypuff,胖丁,プリン,Jigglypuff,Jigglypuff,Pummeluff,Rondoudou,胖丁,푸린,Purin,プリン
Cascoon,盾甲茧,マユルド,Cascoon,Cascoon,Panekon,Blindalys,盾甲繭,카스쿤,Mayuld,マユルド
Abra,凯西,ケーシィ,Abra,Abra,Abra,Abra,凱西,캐이시,Casey,ケーシィ
Ralts,拉鲁拉丝,ラルトス,Ralts,Ralts,Trasla,Tarsal,拉魯拉絲,랄토스,Ralts,ラルトス
Heatran,席多蓝恩,ヒードラン,Heatran,Heatran,Heatran,Heatran,席多藍恩,히드런,Heatran,ヒードラン
Muk,臭臭泥,ベトベトン,Muk,Muk,Sleimok,Grotadmorv,臭臭泥,질뻐기,Betbeton,ベトベトン
Surskit,溜溜糖球,アメタマ,Surskit,Surskit,Gehweiher,Arakdo,溜溜糖球,비구술,Ametama,アメタマ
Wartortle,卡咪龟,カメール,Wartortle,Wartortle,Schillok,Carabaffe,卡咪龜,어니부기,Kameil,カメール
Wigglytuff,胖可丁,プクリン,Wigglytuff,Wigglytuff,Knuddeluff,Grodoudou,胖可丁,푸크린,Pukurin,プクリン
Magikarp,鲤鱼王,コイキング,Magikarp,Magikarp,Karpador,Magicarpe,鯉魚王,잉어킹,Koiking,コイキング
Dusknoir,黑夜魔灵,ヨノワール,Dusknoir,Dusknoir,Zwirrfinst,Noctunoir,黑夜魔靈,야느와르몽,Yonoir,ヨノワール
Baltoy,天秤偶,ヤジロン,Baltoy,Baltoy,Puppance,Balbuto,天秤偶,오뚝군,Yajilon,ヤジロン
Pidgeotto,比比鸟,ピジョン,Pidgeotto,Pidgeotto,Tauboga,Roucoups,比比鳥,피죤,Pigeon,ピジョン
Rattata,小拉达,コラッタ,Rattata,Rattata,Rattfratz,Rattata,小拉達,꼬렛,Koratta,コラッタ
Girafarig,麒麟奇,キリンリキ,Girafarig,Girafarig,Girafarig,Girafarig,麒麟奇,키링키,Kirinriki,キリンリキ
Granbull,布鲁皇,グランブル,Granbull,Granbull,Granbull,Granbull,布魯皇,그랑블루,Granbulu,グランブル
Kabutops,镰刀盔,カブトプス,Kabutops,Kabutops,Kabutops,Kabutops,鐮刀盔,투구푸스,Kabutops,カブトプス
Vulpix,六尾,ロコン,Vulpix,Vulpix,Vulpix,Goupix,六尾,식스테일,Rokon,ロコン
Haunter,鬼斯通,ゴースト,Haunter,Haunter,Alpollo,Spectrum,鬼斯通,고우스트,Ghost,ゴースト
Bellsprout,喇叭芽,マダツボミ,Bellsprout,Bellsprout,Knofensa,Chétiflor,喇叭芽,모다피,Madatsubomi,マダツボミ
Tangrowth,巨蔓藤,モジャンボ,Tangrowth,Tangrowth,Tangoloss,Bouldeneu,巨蔓藤,덩쿠림보,Mojumbo,モジャンボ
Nosepass,朝北鼻,ノズパス,Nosepass,Nosepass,Nasgnet,Tarinor,朝北鼻,코코파스,Nosepass,ノズパス
Slaking,请假王,ケッキング,Slaking,Slaking,Letarking,Monaflèmit,請假王,게을킹,Kekking,ケッキング
Spearow,烈雀,オニスズメ,Spearow,Spearow,Habitak,Piafabec,烈雀,깨비참,Onisuzume,オニスズメ
Chikorita,菊草叶,チコリータ,Chikorita,Chikorita,Endivie,Germignon,菊草葉,치코리타,Chicorita,チコリータ
Scyther,飞天螳螂,ストライク,Scyther,Scyther,Sichlor,Insécateur,飛天螳螂,스라크,Strike,ストライク
Honchkrow,乌鸦头头,ドンカラス,Honchkrow,Honchkrow,Kramshef,Corboss,烏鴉頭頭,돈크로우,Donkarasu,ドンカラス
Magnezone,自爆磁怪,ジバコイル,Magnezone,Magnezone,Magnezone,Magnézone,自爆磁怪,자포코일,Jibacoil,ジバコイル
Togetic,波克基古,トゲチック,Togetic,Togetic,Togetic,Togetic,波克基古,토게틱,Togechick,トゲチック
Vigoroth,过动猿,ヤルキモノ,Vigoroth,Vigoroth,Muntier,Vigoroth,過動猿,발바로,Yarukimono,ヤルキモノ
Quagsire,沼王,ヌオー,Quagsire,Quagsire,Morlord,Maraiste,沼王,누오,Nuoh,ヌオー
Duskull,夜巡灵,ヨマワル,Duskull,Duskull,Zwirrlicht,Skelénox,夜巡靈,해골몽,Yomawaru,ヨマワル
Masquerain,雨翅蛾,アメモース,Masquerain,Masquerain,Maskeregen,Maskadra,雨翅蛾,비나방,Amemoth,アメモース
Luvdisc,爱心鱼,ラブカス,Luvdisc,Luvdisc,Liebiskus,Lovdisc,愛心魚,사랑동이,Lovecus,ラブカス
Gyarados,暴鲤龙,ギャラドス,Gyarados,Gyarados,Garados,Léviator,暴鯉龍,갸라도스,Gyarados,ギャラドス
Metapod,铁甲蛹,トランセル,Metapod,Metapod,Safcon,Chrysacier,鐵甲蛹,단데기,Trancell,トランセル
Spheal,海豹球,タマザラシ,Spheal,Spheal,Seemops,Obalie,海豹球,대굴레오,Tamazarashi,タマザラシ
Bayleef,月桂叶,ベイリーフ,Bayleef,Bayleef,Lorblatt,Macronium,月桂葉,베이리프,Bayleaf,ベイリーフ
Ponyta,小火马,ポニータ,Ponyta,Ponyta,Ponita,Ponyta,小火馬,포니타,Ponyta,ポニータ
Quilava,火岩鼠,マグマラシ,Quilava,Quilava,Igelavar,Feurisson,火岩鼠,마그케인,Magmarashi,マグマラシ
Taillow,傲骨燕,スバメ,Taillow,Taillow,Schwalbini,Nirondelle,傲骨燕,테일로,Subame,スバメ
Hariyama,铁掌力士,ハリテヤマ,Hariyama,Hariyama,Hariyama,Hariyama,鐵掌力士,하리뭉,Hariteyama,ハリテヤマ
Ivysaur,妙蛙草,フシギソウ,Ivysaur,Ivysaur,Bisaknosp,Herbizarre,妙蛙草,이상해풀,Fushigisou,フシギソウ
Chingling,铃铛响,リーシャン,Chingling,Chingling,Klingplim,Korillon,鈴鐺響,랑딸랑,Lisyan,リーシャン
Magcargo,熔岩蜗牛,マグカルゴ,Magcargo,Magcargo,Magcargo,Volcaropod,熔岩蝸牛,마그카르고,Magcargot,マグカルゴ
Whiscash,鲶鱼王,ナマズン,Whiscash,Whiscash,Welsar,Barbicha,鯰魚王,메깅,Namazun,ナマズン
Vileplume,霸王花,ラフレシア,Vileplume,Vileplume,Giflor,Rafflesia,霸王花,라플레시아,Ruffresia,ラフレシア
Slowking,呆呆王,ヤドキング,Slowking,Slowking,Laschoking,Roigada,呆呆王,야도킹,Yadoking,ヤドキング
Dustox,毒粉蛾,ドクケイル,Dustox,Dustox,Pudox,Papinox,毒粉蛾,독케일,Dokucale,ドクケイル
Lopunny,长耳兔,ミミロップ,Lopunny,Lopunny,Schlapor,Lockpin,長耳兔,이어롭,Mimilop,ミミロップ
Beldum,铁哑铃,ダンバル,Beldum,Beldum,Tanhel,Terhal,鐵啞鈴,메탕,Dumbber,ダンバル
Bastiodon,护城龙,トリデプス,Bastiodon,Bastiodon,Bollterus,Bastiodon,護城龍,바리톱스,Trideps,トリデプス
Sandshrew,穿山鼠,サンド,Sandshrew,Sandshrew,Sandan,Sabelette,穿山鼠,모래두지,Sand,サンド
Carvanha,利牙鱼,キバニア,Carvanha,Carvanha,Kanivanha,Carvanha,利牙魚,샤프니아,Kibanha,キバニア
Shroomish,蘑蘑菇,キノココ,Shroomish,Shroomish,Knilz,Balignon,蘑蘑菇,버섯꼬,Kinococo,キノココ
Venomoth,摩鲁蛾,モルフォン,Venomoth,Venomoth,Omot,Aéromite,摩魯蛾,도나리,Morphon,モルフォン
Furret,大尾立,オオタチ,Furret,Furret,Wiesenior,Fouinar,大尾立,다꼬리,Ootachi,オオタチ
Larvitar,幼基拉斯,ヨーギラス,Larvitar,Larvitar,Larvitar,Embrylex,幼基拉斯,애버라스,Yogiras,ヨーギラス
Medicham,恰雷姆,チャーレム,Medicham,Medicham,Meditalis,Charmina,恰雷姆,요가램,Charem,チャーレム
Golbat,大嘴蝠,ゴルバット,Golbat,Golbat,Golbat,Nosferalto,大嘴蝠,골뱃,Golbat,ゴルバット
Gengar,耿鬼,ゲンガー,Gengar,Gengar,Gengar,Ectoplasma,耿鬼,팬텀,Gangar,ゲンガー
