0,1,2,3,4,5,6,7,8
Staryu,Starmie,,,,,,,
MimeJr.,Mr.Mime,,,,,,,
Scyther,Scizor,,,,,,,
Smoochum,Jynx,,,,,,,
Elekid,Electabuzz,Electivire,,,,,,
Magby,Magmar,Magmortar,,,,,,
Pinsir,,,,,,,,
Tauros,,,,,,,,
Magikarp,Gyarados,,,,,,,
Lapras,,,,,,,,
Ditto,,,,,,,,
Eevee,Vaporeon,Jolteon,Flareon,Espeon,Umbreon,Leafeon,Glaceon,Sylveon
Porygon,Porygon2,Porygon-Z,,,,,,
Omanyte,Omastar,,,,,,,
Kabuto,Kabutops,,,,,,,
Aerodactyl,,,,,,,,
Munchlax,Snorlax,,,,,,,
Articuno,,,,,,,,
Zapdos,,,,,,,,
Moltres,,,,,,,,
Dratini,Dragonair,Dragonite,,,,,,
Mewtwo,,,,,,,,
Mew,,,,,,,,
Meltan,Melmetal,,,,,,,
Chikorita,Bayleef,Meganium,,,,,,
Cyndaquil,Quilava,Typhlosion,,,,,,
Totodile,Croconaw,Feraligatr,,,,,,
Sentret,Furret,,,,,,,
Hoothoot,Noctowl,,,,,,,
Ledyba,Ledian,,,,,,,
Spinarak,Ariados,,,,,,,
Chinchou,Lanturn,,,,,,,
Togepi,Togetic,Togekiss,,,,,,
Natu,Xatu,,,,,,,
Mareep,Flaaffy,Ampharos,,,,,,
Azurill,Marill,Azumarill,,,,,,
Bonsly,Sudowoodo,,,,,,,
Hoppip,Skiploom,Jumpluff,,,,,,
Aipom,Ambipom,,,,,,,
Sunkern,Sunflora,,,,,,,
Yanma,Yanmega,,,,,,,
Wooper,Quagsire,,,,,,,
Murkrow,Honchkrow,,,,,,,
Misdreavus,Mismagius,,,,,,,
Unown,,,,,,,,
Wynaut,Wobbuffet,,,,,,,
Girafarig,,,,,,,,
Pineco,Forretress,,,,,,,
Dunsparce,,,,,,,,
Gligar,Gliscor,,,,,,,
Snubbull,Granbull,,,,,,,
Qwilfish,,,,,,,,
Shuckle,,,,,,,,
Heracross,,,,,,,,
Sneasel,Weavile,,,,,,,
Teddiursa,Ursaring,,,,,,,
Slugma,Magcargo,,,,,,,
Swinub,Piloswine,Mamoswine,,,,,,
Corsola,,,,,,,,
Remoraid,Octillery,,,,,,,
Delibird,,,,,,,,
Mantyke,Mantine,,,,,,,
Skarmory,,,,,,,,
Houndour,Houndoom,,,,,,,
Phanpy,Donphan,,,,,,,
Stantler,,,,,,,,
Smeargle,,,,,,,,
Miltank,,,,,,,,
Raikou,,,,,,,,
Entei,,,,,,,,
Suicune,,,,,,,,
Larvitar,Pupitar,Tyranitar,,,,,,
Lugia,,,,,,,,
Ho-Oh,,,,,,,,
Celebi,,,,,,,,
Treecko,Grovyle,Sceptile,,,,,,
Torchic,Combusken,Blaziken,,,,,,
Mudkip,Marshtomp,Swampert,,,,,,
Poochyena,Mightyena,,,,,,,
Zigzagoon,Linoone,,,,,,,
Wurmple,Silcoon,Beautifly,Cascoon,Dustox,,,,
Lotad,Lombre,Ludicolo,,,,,,
Seedot,Nuzleaf,Shiftry,,,,,,
Taillow,Swellow,,,,,,,
Wingull,Pelipper,,,,,,,
Ralts,Kirlia,Gardevoir,Gallade,,,,,
Surskit,Masquerain,,,,,,,
Shroomish,Breloom,,,,,,,
Slakoth,Vigoroth,Slaking,,,,,,
Nincada,Ninjask,Shedinja,,,,,,
Whismur,Loudred,Exploud,,,,,,
Makuhita,Hariyama,,,,,,,
Nosepass,Probopass,,,,,,,
Skitty,Delcatty,,,,,,,
Sableye,,,,,,,,
Mawile,,,,,,,,
Aron,Lairon,Aggron,,,,,,
Meditite,Medicham,,,,,,,
Electrike,Manectric,,,,,,,
Plusle,,,,,,,,
Minun,,,,,,,,
Volbeat,,,,,,,,
Illumise,,,,,,,,
Budew,Roselia,Roserade,,,,,,
Gulpin,Swalot,,,,,,,
Carvanha,Sharpedo,,,,,,,
Wailmer,Wailord,,,,,,,
Numel,Camerupt,,,,,,,
Torkoal,,,,,,,,
Spoink,Grumpig,,,,,,,
Spinda,,,,,,,,
Trapinch,Vibrava,Flygon,,,,,,
Cacnea,Cacturne,,,,,,,
Swablu,Altaria,,,,,,,
Zangoose,,,,,,,,
Seviper,,,,,,,,
Lunatone,,,,,,,,
Solrock,,,,,,,,
Barboach,Whiscash,,,,,,,
Corphish,Crawdaunt,,,,,,,
Baltoy,Claydol,,,,,,,
Lileep,Cradily,,,,,,,
Anorith,Armaldo,,,,,,,
Feebas,Milotic,,,,,,,
Castform,,,,,,,,
Kecleon,,,,,,,,
Shuppet,Banette,,,,,,,
Duskull,Dusclops,Dusknoir,,,,,,
Tropius,,,,,,,,
Chingling,Chimecho,,,,,,,
Absol,,,,,,,,
Snorunt,Glalie,Froslass,,,,,,
Spheal,Sealeo,Walrein,,,,,,
Clamperl,Huntail,Gorebyss,,,,,,
Relicanth,,,,,,,,
Luvdisc,,,,,,,,
Bagon,Shelgon,Salamence,,,,,,
Beldum,Metang,Metagross,,,,,,
Regirock,,,,,,,,
Regice,,,,,,,,
Registeel,,,,,,,,
Latias,,,,,,,,
Latios,,,,,,,,
Kyogre,,,,,,,,
Groudon,,,,,,,,
Rayquaza,,,,,,,,
Jirachi,,,,,,,,
Deoxys+normal,Deoxys+attack,Deoxys+defense,Deoxys+speed,,,,,
Turtwig,Grotle,Torterra,,,,,,
Chimchar,Monferno,Infernape,,,,,,
Piplup,Prinplup,Empoleon,,,,,,
Starly,Staravia,Staraptor,,,,,,
Bidoof,Bibarel,,,,,,,
Kricketot,Kricketune,,,,,,,
Shinx,Luxio,Luxray,,,,,,
Cranidos,Rampardos,,,,,,,
Shieldon,Bastiodon,,,,,,,
Burmy,Wormadam+plant,Wormadam+sandy,Wormadam+trash,Mothim,,,,
Combee,Vespiquen,,,,,,,
Pachirisu,,,,,,,,
Buizel,Floatzel,,,,,,,
Cherubi,Cherrim,,,,,,,
Shellos,Gastrodon,,,,,,,
Drifloon,Drifblim,,,,,,,
Buneary,Lopunny,,,,,,,
Glameow,Purugly,,,,,,,
Stunky,Skuntank,,,,,,,
Bronzor,Bronzong,,,,,,,
Chatot,,,,,,,,
Spiritomb,,,,,,,,
Gible,Gabite,Garchomp,,,,,,
Riolu,Lucario,,,,,,,
Hippopotas,Hippowdon,,,,,,,
Skorupi,Drapion,,,,,,,
Croagunk,Toxicroak,,,,,,,
Carnivine,,,,,,,,
Finneon,Lumineon,,,,,,,
Snover,Abomasnow,,,,,,,
Rotom+forms,Rotom+normal,,,,,,,
Uxie,,,,,,,,
Mesprit,,,,,,,,
Azelf,,,,,,,,
Dialga,,,,,,,,
Palkia,,,,,,,,
Heatran,,,,,,,,
Regigigas,,,,,,,,
Giratina+altered,Giratina+origin,,,,,,,
Cresselia,,,,,,,,
Phione,,,,,,,,
Manaphy,,,,,,,,
Darkrai,,,,,,,,
Shaymin+land,Shaymin+sky,,,,,,,
Arceus,,,,,,,,
Victini,,,,,,,,
Snivy,Servine,Serperior,,,,,,
Tepig,Pignite,Emboar,,,,,,
Oshawott,Dewott,Samurott,,,,,,
Patrat,Watchog,,,,,,,
Lillipup,Herdier,Stoutland,,,,,,
Purrloin,Liepard,,,,,,,
Pansage,Simisage,,,,,,,
Pansear,Simisear,,,,,,,
Panpour,Simipour,,,,,,,
Munna,Musharna,,,,,,,
Pidove,Tranquill,Unfezant,,,,,,
Blitzle,Zebstrika,,,,,,,
Roggenrola,Boldore,Gigalith,,,,,,
Woobat,Swoobat,,,,,,,
Drilbur,Excadrill,,,,,,,
Audino,,,,,,,,
Timburr,Gurdurr,Conkeldurr,,,,,,
Tympole,Palpitoad,Seismitoad,,,,,,
Throh,,,,,,,,
Sawk,,,,,,,,
Sewaddle,Swadloon,Leavanny,,,,,,
Venipede,Whirlipede,Scolipede,,,,,,
Cottonee,Whimsicott,,,,,,,
Petilil,Lilligant,,,,,,,
Basculin,,,,,,,,
Sandile,Krokorok,Krookodile,,,,,,
Darumaka,Darmanitan,,,,,,,
Maractus,,,,,,,,
Dwebble,Crustle,,,,,,,
Scraggy,Scrafty,,,,,,,
Sigilyph,,,,,,,,
Yamask,Cofagrigus,,,,,,,
Tirtouga,Carracosta,,,,,,,
Archen,Archeops,,,,,,,
Trubbish,Garbodor,,,,,,,
Zorua,Zoroark,,,,,,,
Minccino,Cinccino,,,,,,,
Gothita,Gothorita,Gothitelle,,,,,,
Solosis,Duosion,Reuniclus,,,,,,
Ducklett,Swanna,,,,,,,
Vanillite,Vanillish,Vanilluxe,,,,,,
Deerling,Sawsbuck+spring,Sawsbuck+summer,Sawsbuck+autumn,Sawsbuck+winter,,,,
Emolga,,,,,,,,
Karrablast,Escavalier,,,,,,,
Foongus,Amoonguss,,,,,,,
Frillish,Jellicent,,,,,,,
Alomomola,,,,,,,,
Joltik,Galvantula,,,,,,,
Ferroseed,Ferrothorn,,,,,,,
Klink,Klang,Klinklang,,,,,,
Tynamo,Eelektrik,Eelektross,,,,,,
Elgyem,Beheeyem,,,,,,,
Litwick,Lampent,Chandelure,,,,,,
Axew,Fraxure,Haxorus,,,,,,
Cubchoo,Beartic,,,,,,,
Cryogonal,,,,,,,,
Shelmet,Accelgor,,,,,,,
Stunfisk,,,,,,,,
Mienfoo,Mienshao,,,,,,,
Druddigon,,,,,,,,
Golett,Golurk,,,,,,,
Pawniard,Bisharp,,,,,,,
Bouffalant,,,,,,,,
Rufflet,Braviary,,,,,,,
Vullaby,Mandibuzz,,,,,,,
Heatmor,,,,,,,,
Durant,,,,,,,,
Deino,Zweilous,Hydreigon,,,,,,
Larvesta,Volcarona,,,,,,,
Cobalion,,,,,,,,
Terrakion,,,,,,,,
Virizion,,,,,,,,
Tornadus,,,,,,,,
Thundurus,,,,,,,,
Reshiram,,,,,,,,
Zekrom,,,,,,,,
Landorus,,,,,,,,
Kyurem,,,,,,,,
Keldeo,,,,,,,,
Meloetta+aria,Meloetta+pirouette,,,,,,,
Genesect,,,,,,,,
Chespin,Quilladin,Chesnaught,,,,,,
Fennekin,Braixen,Delphox,,,,,,
Froakie,Frogadier,Greninja,,,,,,
Bunnelby,Diggersby,,,,,,,
Fletchling,Fletchinder,Talonflame,,,,,,
Scatterbug,Spewpa,Vivillon,,,,,,
Litleo,Pyroar,,,,,,,
Flabébé,Floette,Florges,,,,,,
Skiddo,Gogoat,,,,,,,
Pancham,Pangoro,,,,,,,
Furfrou,,,,,,,,
Espurr,Meowstic,,,,,,,
Honedge,Doublade,Aegislash,,,,,,
Spritzee,Aromatisse,,,,,,,
Swirlix,Slurpuff,,,,,,,
Inkay,Malamar,,,,,,,
Binacle,Barbaracle,,,,,,,
Skrelp,Dragalge,,,,,,,
Clauncher,Clawitzer,,,,,,,
Helioptile,Heliolisk,,,,,,,
Tyrunt,Tyrantrum,,,,,,,
Amaura,Aurorus,,,,,,,
Hawlucha,,,,,,,,
Dedenne,,,,,,,,
Carbink,,,,,,,,
Goomy,Sliggoo,Goodra,,,,,,
Klefki,,,,,,,,
Phantump,Trevenant,,,,,,,
Pumpkaboo,Gourgeist,,,,,,,
Bergmite,Avalugg,,,,,,,
Noibat,Noivern,,,,,,,
Xerneas,,,,,,,,
Yveltal,,,,,,,,
Zygarde,,,,,,,,
Diancie,,,,,,,,
Hoopa,,,,,,,,
Volcanion,,,,,,,,
Rowlet,Dartrix,Decidueye,,,,,,
Litten,Torracat,Incineroar,,,,,,
Popplio,Brionne,Primarina,,,,,,
Pikipek,Trumbeak,Toucannon,,,,,,
Yungoos,Gumshoos,,,,,,,
Grubbin,Charjabug,Vikavolt,,,,,,
Crabrawler,Crabominable,,,,,,,
Oricorio+baile,Oricorio+pom-pom,Oricorio+pau,Oricorio+sensu,,,,,
Cutiefly,Ribombee,,,,,,,
Rockruff,Lycanroc,,,,,,,
Wishiwashi,,,,,,,,
Mareanie,Toxapex,,,,,,,
Mudbray,Mudsdale,,,,,,,
Dewpider,Araquanid,,,,,,,
Fomantis,Lurantis,,,,,,,
Morelull,Shiinotic,,,,,,,
Salandit,Salazzle,,,,,,,
Stufful,Bewear,,,,,,,
Bounsweet,Steenee,Tsareena,,,,,,
Comfey,,,,,,,,
Oranguru,,,,,,,,
Passimian,,,,,,,,
Wimpod,Golisopod,,,,,,,
Sandygast,Palossand,,,,,,,
Pyukumuku,,,,,,,,
Type:Null,Silvally,,,,,,,
Minior,,,,,,,,
Komala,,,,,,,,
Turtonator,,,,,,,,
Togedemaru,,,,,,,,
Mimikyu,,,,,,,,
Bruxish,,,,,,,,
Drampa,,,,,,,,
Dhelmise,,,,,,,,
Jangmo-o,Hakamo-o,Kommo-o,,,,,,
TapuKoko,,,,,,,,
TapuLele,,,,,,,,
TapuBulu,,,,,,,,
TapuFini,,,,,,,,
Cosmog,Cosmoem,Solgaleo,Lunala,,,,,
Nihilego,,,,,,,,
Buzzwole,,,,,,,,
Pheromosa,,,,,,,,
Xurkitree,,,,,,,,
Celesteela,,,,,,,,
Kartana,,,,,,,,
Guzzlord,,,,,,,,
Necrozma,,,,,,,,
Magearna,,,,,,,,
Marshadow,,,,,,,,
Poipole,Naganadel,,,,,,,
Stakataka,,,,,,,,
Blacephalon,,,,,,,,
Zeraora,,,,,,,,
