,rank,cp,ivs,maxlevel,stat-product
188,189,1456,11 13 14,16.0,1787143
189,190,1460,13 11 13,16.0,1787143
190,191,1463,13 11 14,16.0,1787143
191,192,1463,14 10 13,16.0,1787034
192,193,1466,14 10 14,16.0,1787034
193,194,1456,12 10 15,16.0,1785024
194,195,1460,13 14 10,16.0,1782877
195,196,1464,14 13 10,16.0,1782877
196,197,1457,12 15 10,16.0,1782806
197,198,1467,15 12 10,16.0,1782806
198,199,1457,12 13 12,16.0,1781094
199,200,1457,13 12 11,16.0,1781094
200,201,1460,13 12 12,16.0,1781094
201,202,1460,14 11 11,16.0,1781022
202,203,1463,14 11 12,16.0,1781022
203,204,1463,15 10 11,16.0,1780878
204,205,1466,15 10 12,16.0,1780878
205,206,1456,12 11 14,16.0,1779129
206,207,1457,13 10 13,16.0,1779057
207,208,1460,13 10 14,16.0,1779057
208,209,1457,13 13 10,16.0,1774918
209,210,1460,14 12 10,16.0,1774882
210,211,1464,15 11 10,16.0,1774775
211,212,1457,13 11 12,16.0,1773071
212,213,1457,14 10 11,16.0,1772963
213,214,1460,14 10 12,16.0,1772963
214,215,1457,14 11 10,16.0,1766887
215,216,1460,15 10 10,16.0,1766744
