,rank,cp,ivs,maxlevel,stat-product
79,80,2482,15 12 13,28.0,2421634
80,81,2491,15 12 14,28.0,2421634
81,82,2468,10 15 12,28.0,2421349
82,83,2489,12 12 11,28.5,2421287
83,84,2469,13 15 15,27.5,2421038
84,85,2471,12 13 13,28.0,2420363
85,86,2480,12 13 14,28.0,2420363
86,87,2491,14 10 12,28.5,2419331
87,88,2500,14 10 13,28.5,2419331
88,89,2481,13 15 11,28.0,2418556
89,90,2482,14 11 15,28.0,2418495
90,91,2480,11 11 12,28.5,2418307
91,92,2489,11 11 13,28.5,2418307
92,93,2497,11 10 10,29.0,2418182
93,94,2484,15 13 12,28.0,2417677
94,95,2471,11 12 15,28.0,2417319
95,96,2490,12 13 10,28.5,2417110
96,97,2473,12 14 12,28.0,2416260
97,98,2473,15 14 15,27.5,2415836
98,99,2493,14 11 11,28.5,2415679
99,100,2480,10 10 14,28.5,2414944
100,101,2475,14 12 13,28.0,2414907
101,102,2484,14 12 14,28.0,2414907
102,103,2482,11 12 11,28.5,2414504
103,104,2462,12 15 15,27.5,2414275
104,105,2464,11 13 13,28.0,2413583
105,106,2473,11 13 14,28.0,2413583
106,107,2485,15 14 11,28.0,2413359
107,108,2484,13 10 12,28.5,2412592
108,109,2493,13 10 13,28.5,2412592
109,110,2474,12 15 11,28.0,2411800
110,111,2475,13 11 15,28.0,2411758
111,112,2494,14 12 10,28.5,2411662
112,113,2467,15 15 13,27.5,2411596
113,114,2475,15 15 14,27.5,2411596
114,115,2473,10 11 12,28.5,2411514
115,116,2482,10 11 13,28.5,2411514
116,117,2490,10 10 10,29.0,2411389
117,118,2477,14 13 12,28.0,2410961
118,119,2464,10 12 15,28.0,2410529
119,120,2483,11 13 10,28.5,2410340
120,121,2466,11 14 12,28.0,2409492
121,122,2467,14 14 15,27.5,2409125
122,123,2486,13 11 11,28.5,2408950
123,124,2486,15 15 10,28.0,2408682
124,125,2469,13 12 13,28.0,2408181
125,126,2477,13 12 14,28.0,2408181
126,127,2475,10 12 11,28.5,2407722
127,128,2457,10 13 13,28.0,2406804
128,129,2466,10 13 14,28.0,2406804
129,130,2478,14 14 11,28.0,2406656
130,131,2479,15 10 15,28.0,2405984
131,132,2478,12 10 12,28.5,2405853
132,133,2486,12 10 13,28.5,2405853
133,134,2467,11 15 11,28.0,2405045
134,135,2468,12 11 15,28.0,2405022
135,136,2487,13 12 10,28.5,2404944
136,137,2460,14 15 13,27.5,2404897
137,138,2468,14 15 14,27.5,2404897
138,139,2470,13 13 12,28.0,2404245
139,140,2476,10 13 10,28.5,2403569
140,141,2490,15 10 11,28.5,2403183
141,142,2459,10 14 12,28.0,2402724
142,143,2473,15 11 13,28.0,2402566
143,144,2481,15 11 14,28.0,2402566
144,145,2460,13 14 15,27.5,2402415
145,146,2479,12 11 11,28.5,2402221
146,147,2479,14 15 10,28.0,2401992
147,148,2462,12 12 13,28.0,2401454
148,149,2470,12 12 14,28.0,2401454
149,150,2471,13 14 11,28.0,2399952
150,151,2491,15 11 10,28.5,2399337
151,152,2472,14 10 15,28.0,2399301
152,153,2471,11 10 12,28.5,2399114
153,154,2479,11 10 13,28.5,2399114
154,155,2474,15 12 12,28.0,2398789
155,156,2460,10 15 11,28.0,2398289
156,157,2461,11 11 15,28.0,2398285
157,158,2480,12 12 10,28.5,2398227
158,159,2461,13 15 14,27.5,2398198
159,160,2463,12 13 12,28.0,2397529
160,161,2464,15 13 15,27.5,2397108
161,162,2483,14 10 11,28.5,2396507
162,163,2466,14 11 13,28.0,2395892
163,164,2474,14 11 14,28.0,2395892
164,165,2472,11 11 11,28.5,2395492
165,166,2472,13 15 10,28.0,2395301
166,167,2463,11 12 14,28.0,2394727
167,168,2475,15 13 11,28.0,2394651
168,169,2464,12 14 11,28.0,2393248
169,170,2457,15 14 13,27.5,2393045
170,171,2465,15 14 14,27.5,2393045
171,172,2484,14 11 10,28.5,2392673
172,173,2465,13 10 15,28.0,2392618
173,174,2464,10 10 12,28.5,2392375
174,175,2472,10 10 13,28.5,2392375
175,176,2467,14 12 12,28.0,2392125
176,177,2473,11 12 10,28.5,2391509
177,178,2457,14 13 15,27.5,2390450
178,179,2477,15 14 10,28.0,2390154
179,180,2476,13 10 11,28.5,2389832
180,181,2459,13 11 13,28.0,2389219
181,182,2467,13 11 14,28.0,2389219
182,183,2465,10 11 11,28.5,2388763
183,184,2458,15 15 12,27.5,2388628
184,185,2466,12 15 10,28.0,2388610
185,186,2469,14 13 11,28.0,2387999
186,187,2457,11 14 11,28.0,2386544
187,188,2458,14 14 14,27.5,2386398
188,189,2478,13 11 10,28.5,2386008
189,190,2458,12 10 15,28.0,2385934
190,191,2460,13 12 12,28.0,2385462
191,192,2467,10 12 10,28.5,2384791
192,193,2470,14 14 10,28.0,2383515
193,194,2463,15 10 13,28.0,2383498
194,195,2471,15 10 14,28.0,2383498
195,196,2469,12 10 11,28.5,2383156
196,197,2460,12 11 14,28.0,2382545
197,198,2459,11 15 10,28.0,2381919
198,199,2462,13 13 11,28.0,2381348
199,200,2481,15 10 10,28.5,2380295
200,201,2464,15 11 12,28.0,2379901
201,202,2471,12 11 10,28.5,2379343
202,203,2464,14 10 14,28.0,2376877
203,204,2463,13 14 10,28.0,2376875
204,205,2462,11 10 11,28.5,2376481
205,206,2466,15 12 11,28.0,2375943
206,207,2475,14 10 10,28.5,2373683
207,208,2457,14 11 12,28.0,2373290
208,209,2464,11 11 10,28.5,2372678
209,210,2467,15 13 10,28.0,2371626
210,211,2457,13 10 14,28.0,2370257
211,212,2459,14 12 11,28.0,2369343
212,213,2468,13 10 10,28.5,2367071
213,214,2460,14 13 10,28.0,2365038
214,215,2461,12 10 10,28.5,2360459
215,216,2457,15 12 10,28.0,2353097
